name,device,best_epoch,best_macro_f1,final_val_acc,final_val_macro_f1
L2-H1024-K4-S100-hor10-W5-epsavg_spread-10.0-seed42,cuda:0,3,0.3865781762501211,0.5778854857076119,0.3865781762501211
L2-H1024-K4-S100-hor10-W5-epsavg_spread-50.0-seed42,cuda:1,1,0.3793114087622625,0.5648048118193232,0.3793114087622625
L2-H1024-K4-S100-hor10-W5-epsavg_spread-100.0-seed42,cuda:2,2,0.37674233787656225,0.5499138660982802,0.37674233787656225
L2-H1024-K4-S100-hor10-W5-epszero-seed42,cuda:3,3,0.38671200661479194,0.5800753306665888,0.38671200661479194
L10-H1024-K4-S100-hor10-W5-epsavg_spread-10.0-seed42,cuda:0,3,0.3878011838669213,0.5796373616747934,0.3878011838669213
L10-H1024-K4-S100-hor10-W5-epsavg_spread-50.0-seed42,cuda:1,3,0.3799554250618158,0.5624397792636281,0.3799554250618158
L10-H1024-K4-S100-hor10-W5-epsavg_spread-100.0-seed42,cuda:2,,,,
L10-H1024-K4-S100-hor10-W5-epszero-seed42,cuda:3,3,0.38870200019939277,0.5857981254927151,0.38870200019939277
